date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:18	78331/78331	---M-Z	200	added ('OK')	application/javascript	etag:%22131fb-559a562ac49cc-gzip%22	http://www.davo1.cz/front/plugins/swiper/dist/js/swiper.min.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/swiper/dist/js/swiper.min.js	(from http://www.davo1.cz/)
19:57:19	15575/15575	---M-Z	200	added ('OK')	application/javascript	etag:%223cd7-559a53e1cf185-gzip%22	http://www.davo1.cz/front/scripts/toggle.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/toggle.js	(from http://www.davo1.cz/)
19:57:19	5464/5464	---M-Z	200	added ('OK')	application/javascript	etag:%221558-559a53e1b2c65-gzip%22	http://www.davo1.cz/front/scripts/notify.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/notify.js	(from http://www.davo1.cz/)
19:57:20	797/797	---M-Z	200	added ('OK')	application/javascript	etag:%2231d-559a53e199df5-gzip%22	http://www.davo1.cz/front/scripts/map.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/map.js	(from http://www.davo1.cz/)
19:57:21	11391/11391	---M-Z	200	added ('OK')	application/javascript	etag:%222c7f-55aced98aa311-gzip%22	http://www.davo1.cz/front/scripts/main.js?v=1708973502	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/main3978.js	(from http://www.davo1.cz/)
19:57:32	1073524/1073524	---M--	200	added ('OK')	image/png	etag:%22106174-55acf90b1a416%22	http://www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-4.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-4.png	(from http://www.davo1.cz/)
19:57:48	451315/451315	---M--	200	added ('OK')	image/png	etag:%226e2f3-55acf95661409%22	http://www.davo1.cz/public/files/pages/original/tisk-3463.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/tisk-3463.png	(from http://www.davo1.cz/)
19:57:48	167264/167264	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2228d60-559a55a8c688f%22	http://www.davo1.cz/front/styles/fonts/InoveStudio/InoveStudio.eot?u8sxl3	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/styles/fonts/InoveStudio/InoveStudio5fe4.eot	(from http://www.davo1.cz/front/styles/style.css)
19:57:54	559196/559196	---MCZ	200	added ('OK')	image/svg+xml	etag:%228885c-559a55a8df6ff-gzip%22	http://www.davo1.cz/front/styles/fonts/InoveStudio/InoveStudio.svg?u8sxl3	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/styles/fonts/InoveStudio/InoveStudio5fe4.svg	(from http://www.davo1.cz/front/styles/style.css)
19:57:54	1014/1014	---M--	200	added ('OK')	image/png	etag:%223f6-559a53e0f2e15%22	http://www.davo1.cz/front/img/triangle_down.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/img/triangle_down.png	(from http://www.davo1.cz/front/styles/style.css)
19:57:55	687/687	---M--	200	added ('OK')	image/png	etag:%222af-559a53dd614e5%22	http://www.davo1.cz/front/img/angle_left.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/img/angle_left.png	(from http://www.davo1.cz/front/styles/style.css)
19:57:55	667/667	---M--	200	added ('OK')	image/png	etag:%2229b-559a53dd6a56d%22	http://www.davo1.cz/front/img/angle_right.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/img/angle_right.png	(from http://www.davo1.cz/front/styles/style.css)
19:57:58	1141776/1141776	---M--	200	added ('OK')	image/png	etag:%22116c10-55acf90a76316%22	http://www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-1.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-1.png	(from http://www.davo1.cz/)
19:57:59	278/278	---M--	200	added ('OK')	image/png	etag:%22116-559a55a3c25ae%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_highlight-soft_100_eeeeee_1x100.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_highlight-soft_100_eeeeee_1x100.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:00	5815/5815	---M--	200	added ('OK')	image/png	etag:%2216b7-559a55a3c25ae%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_gloss-wave_35_f6a828_500x100.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_gloss-wave_35_f6a828_500x100.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:00	262/262	---M--	200	added ('OK')	image/png	etag:%22106-559a55a39d3ee%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_glass_100_f6f6f6_1x400.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_glass_100_f6f6f6_1x400.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
19:58:01	348/348	---M--	200	added ('OK')	image/png	etag:%2215c-559a55a3af116%22	http://www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_glass_100_fdf5ce_1x400.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/images/ui-bg_glass_100_fdf5ce_1x400.png	(from http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css)
